Sum of MegaTrials/sec,Column Labels,,,,,,,
Row Labels,1024,4096,16384,65536,262144,1048576,2097152,Grand Total
8,34.2612,229.3907,795.031,1134.626,1462.3349,2602.2872,2980.9416,9238.8726
32,33.8624,239.2523,942.9098,1020.4285,1710.5868,4717.5354,6594.486,15259.0612
64,22.7111,225.3521,516.6499,595.0029,3880.6253,4610.0168,6246.8785,16097.2366
128,61.5385,225.7496,340.4255,1148.6259,5204.5744,7949.5387,8790.8784,23721.331
Grand Total,152.3732,919.7447,2595.0162,3898.6833,12258.1214,19879.3781,24613.1845,64316.5014
,,,,,,,,
,1024,4096,16384,65536,262144,1048576,2097152,
8,34.2612,229.3907,795.031,1134.626,1462.3349,2602.2872,2980.9416,
32,33.8624,239.2523,942.9098,1020.4285,1710.5868,4717.5354,6594.486,
64,22.7111,225.3521,516.6499,595.0029,3880.6253,4610.0168,6246.8785,
128,61.5385,225.7496,340.4255,1148.6259,5204.5744,7949.5387,8790.8784,
